name,maj_axis,min_axis,mag,cat_num,in_maj,in_min
MCG-05-25-002, 10.00,  7.00,   13.0,NGC 3241,2.5,2
MCG-05-09-017,  0.00,  0.00,   14.0,,4,3
MCG-05-54-021,  4.00,  1.50,   16.0,,0,0
MCG-05-54-020,  6.00,  6.00,   15.0,,3,2.5
MCG-05-04-027,  8.00,  8.00,   14.0,,0,0
MCG-05-31-012,  0.00,  0.00,   15.0,,3,2.5
MCG-05-12-007,  6.00,  5.00,   15.0,,1.5,1.5
MCG-05-22-008, 35.00,  6.00,   12.0,IC 2469,4,3
MCG-05-03-009,  8.00,  2.00,   15.0,,2,2
MCG-05-53-016,  8.00,  6.00,   15.0,,0,0
MCG-05-02-006, 10.00,  8.00,   14.0,,1,1
MCG-05-11-008, 10.00,  7.00,   15.0,,2,1
MCG-05-11-009,  3.00,  0.70,   16.0,,0,0
MCG-05-31-014,  8.00,  7.00,   16.0,,2,2
MCG-05-50-011,  8.00,  3.00,   15.0,,1,1
MCG-05-47-012,  5.00,  5.00,   15.0,,3,2
MCG-05-35-002,  8.00,  4.00,   15.0,,2,2
MCG-05-30-005,  4.00,  4.00,   16.0,,0,0
MCG-05-55-012, 13.00, 10.00,   15.0,,0,0
MCG-05-06-004,  5.00,  5.00,   15.0,,0,0
MCG-05-25-023, 14.00,  3.00,   14.0,,0,0
MCG-05-07-030,  6.00,  2.50,   14.0,,0,0
MCG-05-25-020,  8.00,  6.00,   14.0,NGC 3302,4,2.5
MCG-05-52-020, 16.00,  6.00,   14.0,,1.5,1
MCG-05-32-006,  0.00,  0.00,   14.0,NGC 5114,4,2.5
MCG-05-28-001,  4.00,  2.50,   15.0,,1.5,1.5
MCG-05-32-005, 11.00,  3.00,   15.0,NGC 5108,1,1
MCG-05-31-016,  0.00,  0.00,   15.0,,2.5,2.5
MCG-05-50-018,  4.00,  4.00,   16.0,,1,1
MCG-05-09-004, 15.00, 11.00,   13.0,NGC 1339,6,4
MCG-05-49-008,  8.00,  4.00,   15.0,,2.5,1.5
MCG-05-01-038, 15.00, 15.00,   14.0,IC 1531,4,3
MCG-05-51-031,  8.00,  3.00,   15.0,,0,0
MCG-05-02-015, 12.00,  8.00,   14.0,,5,3
MCG-05-24-008,  0.00,  0.00,   14.0,IC 2526,5,3
MCG-05-04-020, 12.00, 11.00,   14.0,,3,2.5
MCG-05-54-006, 12.00,  8.00,   14.0,,4,4
MCG-05-04-019,  5.00,  3.00,   15.0,,2.5,1.5
MCG-05-33-013,  6.00,  2.00,   15.0,,2,1.5
MCG-05-48-015,  5.00,  2.50,   15.0,,0,0
MCG-05-32-059,  4.00,  3.00,   15.0,,2.5,2
MCG-05-45-002,  4.00,  3.00,   15.0,,1,0.7
MCG-05-04-022,  5.00,  4.00,   15.0,,2,2
MCG-05-04-006,  6.00,  6.00,   15.0,,1.5,1.5
MCG-05-31-026, 12.00,  4.00,   15.0,,1.5,1
MCG-05-32-004,  5.00,  3.00,   15.0,,1.5,1.5
MCG-05-01-027,  2.00,  1.50,   16.0,,0,0
MCG-05-04-017,  6.00,  4.00,   15.0,,2,2
MCG-05-51-016, 10.00, 10.00,   14.0,,3,3
MCG-05-26-005,  9.00,  8.00,   14.0,,1.5,1.5
