name,maj_axis,min_axis,mag,cat_num,in_maj,in_min
MCG-01-53-016, 11.00,  8.00,   14.0,NGC 6977,6,4
MCG-01-22-030,  7.00,  7.00,   15.0,,0,0
MCG-01-08-027,  6.00,  4.00,   15.5,,2.5,2
MCG-01-09-038, 20.00,  7.00,   14.0,NGC 1324,0,0
MCG-01-29-005, 10.00,  3.00,   15.0,,2.5,1.8
MCG-01-04-012,  8.00,  1.50,   15.5,,2,1.5
MCG-01-01-050,  5.00,  4.00,   15.5,,2,2
MCG-01-25-002, 14.00,  8.00,   14.5,,5,3
MCG-01-28-025,  5.00,  3.50,   15.0,,0,0
MCG-01-53-017, 13.00,  6.00,   14.0,NGC 6978,10,4
MCG-01-06-007, 15.00, 10.00,   13.5,,0,0
MCG-01-25-035, 10.00,  4.00,   15.5,,2,1
MCG-01-33-001, 30.00, 20.00,   14.5,,1,1
MCG-01-29-010,  6.00,  4.00,   15.0,,4,2.5
MCG-01-52-016, 25.00,  7.00,   14.0,,7,2.5
MCG-01-41-004, 10.00,  2.50,   15.5,,0,0
MCG-01-22-035,  7.00,  5.00,   15.0,,0,0
MCG-01-26-041,  0.00,  0.00,   14.5,IC  603,4,2.5
MCG-01-53-005, 10.00,  7.00,   14.0,IC 5050,5,3
MCG-01-32-005,  8.00,  4.00,   16.0,,3.6,2
MCG-01-60-001, 11.00,  2.00,   16.0,,2,1.8
MCG-01-22-019,  7.00,  5.00,   15.0,,5,3
MCG-01-27-007, 17.00,  2.00,   15.0,,0,0
MCG-01-26-032, 10.00,  2.00,   14.5,IC  599,4,1.8
MCG-01-26-040,  7.00,  6.00,   15.0,,1.6,1.6
MCG-01-53-007,  6.00,  5.00,   15.0,,4,1.5
MCG-01-34-013, 13.00,  2.50,   15.0,,0,0
MCG-01-60-003,  4.50,  3.00,   15.0,NGC 7692,0,0
MCG-01-01-047, 10.00, 10.00,   13.5,NGC   38,4,4
MCG-01-07-036, 12.00,  4.00,   14.0,NGC 1063,6,3
MCG-01-05-017, 26.00, 10.00,   13.5,,0,0
MCG-01-29-021,  7.00,  3.00,   15.0,,0,0
MCG-01-01-021,  5.00,  4.00,   14.5,,0,0
MCG-01-58-002, 18.00,  7.00,   14.0,NGC 7393,9,5
MCG-01-57-005,  6.00,  4.00,   15.0,,0,0
MCG-01-09-042,  7.00,  5.00,   15.0,NGC 1346,5,3
MCG-01-05-014, 15.00,  3.00,   14.5,,0,0
MCG-01-09-041, 10.00,  1.50,   16.0,,0,0
MCG-01-06-024, 10.00,  3.00,   15.0,,0,0
MCG-01-01-049, 10.00,  4.00,   14.5,,0,0
MCG-01-07-002, 35.00, 25.00,   11.5,NGC  894/,6,4
MCG-01-33-077, 25.00, 12.00,   12.0,NGC 4941,5,4
MCG-01-53-004, 10.00, 10.00,   14.5,,5,3
MCG-01-05-046, 13.00,  8.00,   15.5,,0,0
MCG-01-09-024, 17.00,  4.00,   13.5,,0,0
MCG-01-04-003, 10.00,  5.00,   15.0,,0,0
MCG-01-58-004, 30.00,  7.00,   13.0,NGC 7416,16,5
MCG-01-13-002, 20.00,  7.00,   14.0,NGC 1645,3,2.5
MCG-01-10-014, 12.00, 10.00,   15.0,,1,1
MCG-01-05-045, 17.00,  4.00,   15.0,,0,0
MCG-01-32-025,  8.00,  6.00,   15.0,,0,0
MCG-01-27-031,  8.00,  6.00,   14.0,,0,0
MCG-01-07-030,  0.00,  0.00,   14.0,NGC 1041,5,4
MCG-01-36-007, 21.00, 21.00,   12.0,NGC 5468,2.5,2
MCG-01-36-008, 12.00,  2.00,   15.0,NGC 5472,4,2
MCG-01-06-080, 12.00,  7.00,   15.0,,0,0
MCG-01-54-014,  0.00,  0.00,   16.0,,2,2
MCG-01-34-006,  5.00,  2.00,   16.0,,0,0
MCG-01-03-089, 12.00,  8.00,   14.0,,0,0
MCG-01-13-018, 20.00,  2.00,   14.5,IC 2098,0,0
MCG-01-13-009, 14.00,  9.00,   14.0,NGC 1665,4,3
MCG-01-25-016, 10.00,  7.00,   15.0,IC  553,5,3
MCG-01-06-006, 11.00, 10.00,   13.5,NGC  762,7,3
MCG-01-34-005, 13.00,  7.00,   14.0,NGC 4989,5,4
MCG-01-37-006, 11.00,  5.00,   14.0,,7.5,3
MCG-01-28-026,  5.00,  4.00,   15.0,,0,0
MCG-01-06-026,  0.00,  0.00,   13.5,NGC  790,4,3
MCG-01-34-016,  7.00,  6.00,   15.0,,0.6,0.6
MCG-01-25-033, 12.00,  6.00,   14.0,,7.5,1.5
MCG-01-12-020,  7.00,  5.00,   14.5,NGC 1604,4,3
MCG-01-06-015, 10.00,  3.00,   15.0,IC  183,0,0
MCG-01-10-015, 12.00,  3.00,   15.0,,0,0
MCG-01-07-024, 10.00,  8.00,   13.0,,0,0
MCG-01-03-087,  8.00,  6.00,   14.0,,3.5,2
MCG-01-29-017,  4.00,  3.00,   15.0,,0,0
MCG-01-32-033,  3.00,  2.50,   15.5,,0,0
MCG-01-13-001, 10.00, 10.00,   14.0,NGC 1643,7,4
MCG-01-32-032, 30.00, 18.00,   11.0,NGC 4593,17,6
MCG-01-33-059, 13.00, 13.00,   14.5,,3,2
MCG-01-14-011, 13.00, 10.00,   13.0,NGC 1924,5,3
MCG-01-04-002, 10.00,  3.00,   15.0,,3,2
MCG-01-02-045,  8.00,  4.00,   15.0,,6,2
MCG-01-32-037,  9.00,  2.50,   15.0,,0,0
MCG-01-25-032, 10.00,  2.50,   15.0,,0,0
MCG-01-25-031, 12.00,  2.00,   15.0,,8,1.5
MCG-01-06-043, 10.00,  3.00,   15.0,,0,0
MCG-01-01-064, 12.00,  4.00,   14.0,,0,0
MCG-01-33-020, 16.00,  5.00,   15.0,NGC 4718,4,2
MCG-01-34-004,  0.00,  0.00,   15.0,NGC 4990,3,3
MCG-01-33-011, 15.00, 15.00,   15.0,,0,0
MCG-01-59-020,  3.00,  3.00,   16.0,,0,0
MCG-01-33-009,  4.00,  3.00,   17.0,,0,0
MCG-01-09-016,  0.00,  0.00,   13.5,NGC 1248,5,4
MCG-01-38-001,  0.00,  0.00,   15.0,,2,2
MCG-01-01-036, 11.00,  6.00,   15.0,,7,2.5
MCG-01-03-017, 13.00,  9.00,   12.5,NGC  268,0,0
MCG-01-43-003, 10.00,  8.00,   16.0,,0.6,0.6
MCG-01-01-015,  6.00,  6.00,   14.0,,4,3
MCG-01-30-041,  6.00,  3.00,   15.0,,0,0
MCG-01-12-011,  7.00,  7.00,   14.5,NGC 1580,3.5,3.5
MCG-01-22-025,  7.00,  3.50,   15.0,,0,0
MCG-01-33-016, 25.00,  7.00,   14.0,NGC 4705,5,2
MCG-01-25-044,  8.00,  6.00,   15.0,,2,2
MCG-01-02-027, 16.00, 15.00,   12.0,NGC  145,12,6
MCG-01-25-046,  0.00,  0.00,   14.0,NGC 3022,6,5
MCG-01-03-045, 13.00,  1.50,   15.0,,0,0
MCG-01-03-047, 16.00,  5.00,   13.0,NGC  327,0,0
MCG-01-58-022, 12.00,  5.00,   15.0,,0,0
MCG-01-30-045, 21.00,  4.00,   13.5,IC 2974,15,3
MCG-01-13-005,  0.00,  0.00,   14.0,NGC 1656,6,3
MCG-01-57-014, 13.00,  7.00,   13.0,IC 1447,0,0
MCG-01-01-017,  8.00,  4.00,   14.0,,0,0
MCG-01-39-006,  6.00,  4.00,   15.0,,1.5,1.5
MCG-01-13-014, 13.00,  1.00,   15.5,IC 2095,4,1
MCG-01-03-043,  2.50,  2.50,   16.0,NGC  325,0,0
MCG-01-31-011,  3.00,  3.00,   15.5,,0,0
MCG-01-09-007, 10.00,  3.00,   15.5,,0,0
MCG-01-02-022,  8.00,  4.00,   15.0,,2,1
MCG-01-32-036, 26.00,  8.00,   11.5,NGC 4602,0,0
MCG-01-29-002,  0.00,  0.00,   15.5,,2.5,2.5
MCG-01-33-076, 15.00,  3.00,   15.0,,6,1.5
MCG-01-10-003, 20.00, 15.00,   14.0,NGC 1358,5,3.5
MCG-01-09-045,  8.00,  6.00,   15.0,,5,4
MCG-01-30-036, 11.00,  2.50,   14.5,IC 2963,0,0
MCG-01-53-021,  6.00,  5.00,   15.0,,0,0
MCG-01-42-002, 14.00, 14.00,   15.0,,1.5,1
MCG-01-12-019,  0.00,  0.00,   15.5,NGC 1603,3,3
MCG-01-01-052, 11.00,  5.00,   13.0,,0,0
MCG-01-52-002,  6.00,  5.00,   15.0,,3.5,2.5
MCG-01-52-003, 11.00,  5.00,   15.0,,0,0
MCG-01-25-050, 15.00,  7.00,   14.0,,0,0
MCG-01-25-039,  6.00,  6.00,   15.0,,0,0
MCG-01-05-010,  0.00,  0.00,   15.0,,3,2.5
MCG-01-03-014,  7.00,  2.00,   15.0,,0,0
MCG-01-12-017,  0.00,  0.00,   13.0,NGC 1600,10,7
MCG-01-08-022,  6.00,  3.00,   16.0,,2.5,1
MCG-01-03-048, 13.00,  4.00,   13.0,NGC  329,0,0
MCG-01-42-004, 15.00, 10.00,   15.0,,2,1
MCG-01-12-018,  5.00,  3.00,   16.0,NGC 1601,0,0
MCG-01-29-018,  5.00,  4.50,   15.0,,0,0
MCG-01-10-011, 17.00, 17.00,   13.0,NGC 1376,5,4
MCG-01-60-012,  0.00,  0.00,   15.0,,3,2.5
MCG-01-10-002, 12.00,  3.00,   15.0,NGC 1355,0,0
MCG-01-05-009,  5.00,  3.00,   15.5,,0,0
MCG-01-12-022,  0.00,  0.00,   17.0,NGC 1606,2.5,2
MCG-01-05-006,  8.00,  6.00,   15.0,,0,0
MCG-01-25-007, 10.00,  6.00,   16.0,,1.8,1.8
MCG-01-27-014,  0.00,  0.00,   15.0,,3,2.5
MCG-01-37-007, 10.00, 10.00,   15.0,,2,1
MCG-01-25-051,  8.00,  4.00,   15.0,,0,0
MCG-01-36-013, 15.00, 12.00,   13.5,NGC 5493,8,4
MCG-01-22-008,  5.00,  5.00,   14.5,,0,0
MCG-01-60-002, 14.00,  5.00,   14.0,IC 1498,8,3
MCG-01-52-015,  0.00,  0.00,   13.5,NGC 6945,10,5
MCG-01-34-001,  6.00,  5.00,   16.0,,2,1
MCG-01-56-004,  4.00,  4.00,   15.5,,1,1
MCG-01-34-002,  4.00,  3.00,   15.5,NGC 4975,0,0
MCG-01-03-041,  7.00,  5.00,   14.5,NGC  321,0,0
MCG-01-22-009, 10.00,  5.00,   14.5,,0,0
MCG-01-29-022,  6.00,  4.00,   15.0,IC  693,0,0
MCG-01-25-049, 20.00,  6.00,   14.0,,7,4
MCG-01-26-027,  0.00,  0.00,   16.0,,1.6,1.6
MCG-01-13-012, 11.00,  5.00,   15.0,,0,0
MCG-01-29-020,  6.00,  5.00,   15.0,,3,2.5
MCG-01-27-010,  7.00,  6.00,   15.0,,3,3
MCG-01-35-004,  9.00,  4.00,   15.5,,4,2
MCG-01-55-003,  7.50,  5.00,   15.0,,3,2.5
MCG-01-23-018,  9.00,  6.00,   15.0,,4,3
MCG-01-12-035,  0.00,  0.00,   14.5,NGC 1621,5,4
MCG-01-32-015,  3.00,  3.00,   15.0,,0,0
MCG-01-59-022,  3.00,  2.50,   15.5,,0,0
MCG-01-59-023,  7.00,  2.50,   15.5,,0,0
MCG-01-04-053,  0.00,  0.00,   16.0,IC  118,2,2
MCG-01-53-006, 12.00, 12.00,   15.0,,5,3
MCG-01-13-027, 11.00, 11.00,   15.0,IC 2102,3,1
MCG-01-03-042,  6.00,  3.50,   14.5,,0,0
MCG-01-22-006,  0.00,  0.00,   16.0,,2.5,2
MCG-01-22-007,  7.00,  2.50,   16.0,,0,0
MCG-01-32-014,  5.00,  4.00,   16.0,,2.5,2
MCG-01-04-049,  8.00,  5.00,   14.5,IC  116,0,0
MCG-01-58-012,  9.00,  9.00,   16.0,,3,3
MCG-01-03-054,  8.00,  5.00,   15.0,,5,2.5
MCG-01-22-010, 17.00,  6.00,   14.5,,5.5,5
MCG-01-09-010, 11.00,  6.00,   15.0,,0,0
MCG-01-35-002, 12.00,  7.00,   14.5,,0,0
MCG-01-25-045,  6.00,  5.00,   15.0,,4,3
MCG-01-03-054A,  5.00,  4.00,    0.0,,0,0
MCG-01-44-001,  6.00,  6.00,   16.0,,1.8,1
MCG-01-06-038, 10.00,  5.00,   14.5,,0,0
MCG-01-31-008, 10.00,  6.00,   15.0,,8,1.5
MCG-01-29-023, 13.00,  3.00,   15.5,,2,1.5
MCG-01-60-011, 20.00, 20.00,   14.5,,6,6
MCG-01-12-041,  8.00,  8.00,   15.0,,3,2
MCG-01-13-019,  6.00,  2.00,   15.0,IC 2099,0,0
MCG-01-05-020,  0.00,  0.00,   15.5,,5,3
MCG-01-59-001,  3.00,  3.00,   15.0,,1,1
MCG-01-03-025,  6.00,  6.00,   16.0,,2,1.5
MCG-01-26-020,  7.00,  4.00,   15.5,,0,0
MCG-01-59-021, 10.00,  8.00,   14.5,,4,3
MCG-01-02-019,  8.00,  6.00,   16.0,,2.5,2
MCG-01-23-004,  5.00,  5.00,   16.0,,2.5,2
MCG-01-54-013,  8.00,  6.00,   15.0,IC 1371,4,3
MCG-01-27-005,  0.00,  0.00,   15.5,,2.5,2.5
MCG-01-03-082,  0.00,  0.00,   15.0,,3.5,2.5
MCG-01-05-021,  7.00,  2.50,   15.5,,0,0
MCG-01-22-012, 10.00,  5.00,   15.5,NGC 2585,3,2.5
MCG-01-32-023, 19.00,  3.00,   15.0,,0,0
MCG-01-32-026, 10.00,  6.00,   15.5,,0,0
MCG-01-13-038,  0.00,  0.00,   12.0,NGC 1700,10,7.5
MCG-01-03-067,  7.00,  5.00,   15.5,,2,1.5
MCG-01-58-016, 12.00,  2.50,   15.0,,0,0
MCG-01-12-013, 10.00,  5.00,   15.0,IC  373,2.5,2
MCG-01-12-040, 14.00, 14.00,   13.0,NGC 1627,1.5,1.5
MCG-01-09-044,  0.00,  0.00,   15.0,,3,2.5
MCG-01-25-010,  6.00,  4.00,   15.0,,3,2.5
MCG-01-25-008,  7.00,  2.00,   15.0,,0,0
MCG-01-01-046,  5.00,  5.00,   14.0,,0,0
MCG-01-27-004,  0.00,  0.00,   15.5,,2.5,2.5
MCG-01-03-024, 10.00,  4.00,   16.0,,0,0
MCG-01-26-019,  6.00,  4.00,   15.0,,0,0
MCG-01-25-009,  0.00,  0.00,   14.5,,5,3.5
MCG-01-25-011,  4.00,  1.50,   11.0,,2,1.5
MCG-01-09-034,  7.00,  2.50,   15.0,,0,0
MCG-01-29-004,  4.00,  3.50,   15.0,,0,0
MCG-01-08-023,  5.00,  3.00,   15.5,,2.5,2
MCG-01-10-006, 10.00,  6.00,   15.0,,2.5,2.5
MCG-01-03-052,  6.00,  6.00,   14.5,,2.5,2.5
MCG-01-03-051, 21.00,  5.00,   14.5,,8.5,2.5
MCG-01-35-020, 15.00, 12.00,   14.5,,3,2
MCG-01-09-040, 10.00,  4.00,   15.0,,4,2
MCG-01-30-037,  5.00,  3.00,   15.0,IC  741,0,0
MCG-01-25-012,  4.00,  2.50,   15.5,,0,0
MCG-01-27-012,  6.00,  4.00,   15.5,,4,3
MCG-01-13-034, 10.00,  4.00,   16.0,,3,2
MCG-01-13-006, 12.00, 10.00,   13.0,NGC 1659,3.5,3
MCG-01-09-021, 18.00, 15.00,   15.0,,4,1
MCG-01-57-019, 12.00,  4.00,   16.0,,0,0
MCG-01-13-039,  8.00,  4.00,   15.0,NGC 1699,0,0
MCG-01-56-003,  6.00,  6.00,   15.0,,2.5,2.5
MCG-01-42-003, 16.00,  5.00,   15.5,,0,0
MCG-01-03-076,  0.00,  0.00,   14.5,,7,4
MCG-01-10-001,  6.00,  6.00,   15.0,,0,0
MCG-01-57-008, 10.00,  5.00,   15.0,,2,2
MCG-01-26-025,  7.00,  4.00,   16.0,,0,0
MCG-01-23-015, 20.00, 13.00,   12.5,NGC 2721,8,6
MCG-01-37-004,  5.00,  4.00,   15.0,,0,0
MCG-01-24-006, 18.00, 15.00,   13.0,NGC 2817,7,6
MCG-01-02-038, 10.00,  4.00,   14.0,,6,3
MCG-01-33-070, 12.00,  3.00,   15.5,,0,0
MCG-01-08-021,  8.00,  6.00,   16.0,,1.8,1.5
MCG-01-25-043,  8.00,  8.00,   14.0,NGC 3014,0,0
MCG-01-12-001, 11.00,  2.50,   15.5,,0,0
MCG-01-59-012, 10.00,  7.00,   14.0,NGC 7576,5,4
MCG-01-10-026, 16.00,  5.00,   14.5,NGC 1424,5,2.5
MCG-01-10-022, 10.00,  5.00,   14.5,NGC 1418,0,0
MCG-01-25-004,  0.00,  0.00,   15.5,,2.5,2.5
MCG-01-08-003, 10.00,  8.00,   14.5,NGC 1080,4,2.5
MCG-01-28-009,  8.00,  3.00,   15.0,,2,1.8
MCG-01-22-034, 13.00, 10.00,   14.5,,3.5,2
MCG-01-25-023,  7.00,  2.50,   17.0,,0,0
MCG-01-57-015, 14.00,  4.00,   14.5,,0,0
MCG-01-10-021, 24.00, 14.00,   12.0,NGC 1417,6,3
MCG-01-38-002, 14.00, 14.00,   15.0,,0,0
MCG-01-01-043,  6.00,  6.00,   14.0,,0,0
MCG-01-12-039, 14.00,  3.00,   14.0,NGC 1628,0,0
MCG-01-05-024,  9.00,  6.00,   15.0,,5.5,2.5
MCG-01-25-022, 17.00,  3.00,   14.0,,0,0
MCG-01-07-007, 10.00,  5.00,   15.0,,4,3.5
MCG-01-04-040, 10.00,  7.50,   14.0,,6,4
MCG-01-40-006,  7.00,  5.00,   16.0,,1.5,1
MCG-01-05-032, 13.00,  5.00,   16.0,,4,2.5
MCG-01-26-030, 50.00, 40.00,   13.0,,0,0
MCG-01-04-058,  7.50,  4.00,   15.0,,5,3
MCG-01-60-013,  9.00,  9.00,   16.0,,0,0
MCG-01-10-017, 18.00, 18.00,   14.5,NGC 1397,7.5,6
MCG-01-38-007, 14.00,  3.00,   15.0,,6,2
MCG-01-04-052,  0.00,  0.00,   15.0,,3,2
MCG-01-10-020,  9.00,  4.00,   15.0,IC  344,0,0
MCG-01-13-035A,  8.00,  4.00,   15.0,NGC 1694,3,2
MCG-01-32-006, 15.00,  5.00,   14.0,IC  784,6,3
MCG-01-59-015,  0.00,  0.00,   12.0,NGC 7585,12,9
MCG-01-22-020, 10.00,  4.00,   15.0,,0,0
MCG-01-41-006,  6.00,  3.00,   15.5,,0,0
MCG-01-08-009,  5.00,  5.00,   15.5,,3,2.5
MCG-01-52-010, 20.00, 14.00,   13.5,NGC 6941,3,2
MCG-01-04-039,  5.00,  5.00,   15.0,,0,0
MCG-01-01-070,  8.00,  4.00,   14.5,,0,0
MCG-01-07-018,  0.00,  0.00,   15.5,,3,3
MCG-01-30-009,  6.00,  3.00,   16.0,,0,0
MCG-01-04-038,  5.00,  4.00,   15.0,,0,0
MCG-01-01-066, 13.00,  2.50,   14.5,,5,2.5
MCG-01-04-030, 10.00,  7.00,   14.0,IC  100,4,3
MCG-01-03-061,  5.00,  3.00,   15.0,,2.5,2
MCG-01-03-031, 14.00,  3.00,   15.0,,2.5,1.5
MCG-01-07-011,  4.00,  2.50,   16.0,,1.6,1.6
MCG-01-08-016,  7.50,  4.00,   17.0,,4,2
MCG-01-12-016,  7.00,  6.00,   14.5,NGC 1599,0,0
MCG-01-33-018,  5.00,  2.50,   15.0,IC  824,0,0
MCG-01-09-030,  0.00,  0.00,   14.5,NGC 1304,3.5,2.5
MCG-01-33-067,  7.00,  5.00,   14.0,NGC 4890,0,0
MCG-01-28-011, 13.00,  1.50,   15.0,,0,0
MCG-01-08-017,  4.00,  2.00,   17.0,,2.5,1
MCG-01-11-001,  8.00,  2.50,   15.0,,1.5,1.5
MCG-01-38-021,  0.00,  0.00,   15.0,,6,3
MCG-01-54-010,  0.00,  0.00,   15.5,,3,2
MCG-01-33-030,  7.00,  3.00,   15.0,,3,2.5
MCG-01-04-001,  7.00,  3.00,   15.5,IC   76,0,0
MCG-01-60-008, 15.00,  4.00,   14.0,IC 5334,6,3
MCG-01-60-018,  4.00,  4.00,   15.0,,0,0
MCG-01-04-037, 10.00,  7.50,   15.0,,2.5,1.5
MCG-01-03-072,  8.00,  3.00,   14.5,,0,0
MCG-01-36-015, 10.00,  2.50,   15.0,IC 4401,1.5,1.5
MCG-01-52-018,  0.00,  0.00,   15.0,,2.5,2.5
MCG-01-33-069, 10.00,  7.00,   14.0,NGC 4915,5,4
MCG-01-38-018,  5.00,  5.00,   15.0,,3,2.5
MCG-01-59-003,  5.00,  5.00,   15.0,,0,0
MCG-01-02-014, 12.00,  3.00,   14.0,,0,0
MCG-01-07-004,  6.00,  4.00,   15.0,,0,0
MCG-01-07-021, 10.00,  6.00,   15.0,,5,1.6
MCG-01-41-005,  0.00,  0.00,   16.0,,2,1.6
MCG-01-25-030,  7.00,  3.00,   16.0,,2,1
MCG-01-06-004, 22.00, 10.00,   12.0,NGC  748,10,4
MCG-01-01-053, 11.00,  3.00,   15.0,,0,0
MCG-01-08-025, 10.00,  4.00,   15.0,,4,2.5
MCG-01-25-027,  8.00,  3.00,   14.5,,0,0
MCG-01-26-026,  0.00,  0.00,   16.0,,2,2
MCG-01-57-022,  0.00,  0.00,   13.0,NGC 7351,10,5
MCG-01-38-019,  5.00,  4.00,   15.0,,0,0
MCG-01-10-035, 23.00,  2.50,   14.0,,0,0
MCG-01-37-001, 10.00,  6.00,   14.5,IC  997,0,0
MCG-01-12-023,  8.00,  3.00,   15.0,NGC 1607,4,2
MCG-01-02-044,  6.00,  4.00,   15.0,,0,0
MCG-01-13-037, 10.00, 10.00,   15.0,,5,4
MCG-01-02-005, 10.00,  4.00,   14.5,,4.5,2.5
MCG-01-03-062,  7.00,  4.00,   14.5,,2,1.5
MCG-01-30-043, 15.00, 10.00,   14.0,,10,2
MCG-01-59-017, 10.00,  8.00,   14.0,NGC 7592,5.6,4
MCG-01-07-001, 12.00,  2.50,   15.0,,0,0
MCG-01-14-006,  0.00,  0.00,   16.0,,1.8,1.8
MCG-01-09-001,  0.00,  0.00,   15.5,IC 1886,2.5,2
MCG-01-22-024,  4.00,  3.00,   16.0,,0,0
MCG-01-22-022,  5.00,  4.00,   15.5,,0,0
MCG-01-05-035,  7.00,  6.00,   15.5,,0,0
MCG-01-22-032,  4.00,  4.00,   16.0,,0,0
MCG-01-22-021,  5.00,  3.00,   16.0,,3,2
MCG-01-12-025,  8.00,  5.00,   15.0,NGC 1609,3.8,2
MCG-01-03-026,  8.00,  1.50,   16.0,,0,0
MCG-01-31-002, 13.00,  2.00,   15.0,,0,0
MCG-01-37-002, 10.00,  2.00,   15.5,,4,1.6
MCG-01-02-006, 10.00,  8.00,   14.0,,0,0
MCG-01-33-008, 10.00,  3.00,   15.5,,0,0
MCG-01-10-037, 14.00, 10.00,   15.0,,2.5,1.2
MCG-01-57-009,  7.00,  7.00,   15.0,,1,1
MCG-01-35-009,  8.00,  5.00,   15.0,IC  908,0,0
MCG-01-10-007,  7.00,  4.00,   15.5,,0,0
MCG-01-34-012, 13.00, 10.00,   13.0,NGC 5015,10,3
MCG-01-24-009,  6.00,  6.00,   15.5,,0,0
MCG-01-31-005,  7.00,  5.00,   17.0,,7,3
MCG-01-54-004,  6.00,  5.00,   15.5,,0,0
MCG-01-07-010,  7.00,  5.00,   14.5,,5,3
MCG-01-01-023,  0.00,  1.50,   15.5,,0,6
MCG-01-01-022,  8.00,  5.00,   16.0,,4,2
MCG-01-10-013, 12.00,  6.00,   15.0,,2,1
MCG-01-05-030, 10.00,  9.00,   15.5,,0,0
MCG-01-25-019,  0.00,  0.00,   15.0,,3,2.5
MCG-01-31-004,  8.00,  5.00,   15.5,,0,0
MCG-01-10-024,  0.00,  0.00,   13.5,IC  347,7,6
MCG-01-08-024, 20.00, 10.00,   14.0,,4,1
MCG-01-38-013,  7.00,  5.00,   15.5,,4,2
MCG-01-12-029,  0.00,  0.00,   15.0,NGC 1611,8,2.5
MCG-01-60-027,  6.00,  3.00,   15.0,,0,0
MCG-01-10-040,  3.00,  3.00,   16.0,,0,0
MCG-01-13-045, 15.00,  7.00,   15.0,NGC 1741,0,0
MCG-01-09-002,  8.00,  2.50,   15.0,NGC 1221:,0,0
MCG-01-22-023,  8.00,  5.00,   16.0,,4,2.5
MCG-01-03-071, 23.00,  7.50,   12.5,NGC  352,13,3
MCG-01-12-031,  6.00,  5.00,   15.0,NGC 1613,0,0
MCG-01-09-013, 15.00, 10.00,   16.0,,1,1
MCG-01-03-005, 16.00,  5.00,   14.5,,5,1.8
MCG-01-09-043, 10.00,  6.00,   14.0,,3,2
MCG-01-07-017,  6.00,  6.00,   14.5,IC 1808,0,0
MCG-01-60-023, 10.00,  6.00,   14.5,,0,0
MCG-01-11-003,  9.00,  3.00,   16.0,,2,1
MCG-01-03-080,  7.00,  1.50,   16.0,,0,0
MCG-01-23-017, 14.00,  6.00,   14.5,,3,2.5
MCG-01-05-019,  8.00,  6.00,   15.0,,0,0
MCG-01-09-033, 10.00, 10.00,   15.5,,1,1
MCG-01-06-003,  8.00,  2.50,   15.0,,0,0
MCG-01-22-016,  0.00,  0.00,   15.0,,6,4
MCG-01-55-011, 10.00,  3.00,   14.5,,0,0
MCG-01-12-028, 15.00,  1.50,   16.0,,0,0
MCG-01-06-034, 10.00,  7.00,   15.0,,0,0
MCG-01-57-020, 13.00,  7.00,   14.0,NGC 7344,6,3
MCG-01-28-008,  7.00,  3.00,   15.5,,5,2.5
MCG-01-12-030, 10.00,  7.00,   15.0,NGC 1612,2,2
MCG-01-01-012, 13.00,  3.00,   14.5,IC 1524,10,3
MCG-01-28-005,  8.00,  2.50,   15.0,,4,2
MCG-01-03-040,  5.00,  3.00,   16.0,,0,0
MCG-01-31-001,  3.00,  3.00,   15.0,,2,2
MCG-01-09-003,  0.00,  0.00,   15.0,,3,3
MCG-01-03-004,  7.00,  1.50,   15.5,,0,0
MCG-01-52-013,  4.00,  3.00,   15.5,,4,2
MCG-01-52-014, 12.00,  8.00,   15.0,,3,2
MCG-01-04-015,  9.00,  3.00,   14.5,,0,0
MCG-01-05-029,  7.00,  5.00,   15.0,,0,0
MCG-01-57-003, 15.00, 12.00,   14.0,NGC 7260,6,3
MCG-01-10-032,  6.00,  4.00,   14.6,NGC 1449,0,0
MCG-01-33-024,  6.50,  3.50,   15.0,NGC 4720,0,0
MCG-01-04-014, 10.00,  8.00,   14.5,,3.5,2
MCG-01-22-033, 20.00, 20.00,   13.0,NGC 2642,5,2.5
MCG-01-39-005, 14.00,  8.00,   14.0,,8,5
MCG-01-09-004,  6.00,  3.00,   15.0,NGC 1223,0,0
MCG-01-03-002,  8.00,  7.00,   14.0,IC 1575A,2,2
MCG-01-03-003,  0.00,  0.00,   14.0,IC 1575B,4,2
MCG-01-13-035, 15.00,  2.00,   15.0,,0,0
MCG-01-22-018,  0.00,  0.00,   15.0,,3,2.5
MCG-01-03-060,  8.00,  2.50,   16.0,,0,0
MCG-01-27-032,  7.00,  3.00,   15.5,,0,0
MCG-01-01-077, 10.00,  7.00,   14.0,,6,4
MCG-01-01-011, 13.00,  8.00,   13.0,,0,0
MCG-01-57-006,  5.00,  4.00,   15.0,,0,0
MCG-01-10-029, 11.00,  4.00,   14.0,NGC 1441,0,0
MCG-01-36-001,  7.00,  6.00,   15.0,,1.5,1
MCG-01-10-033,  0.00,  0.00,   14.5,NGC 1451,4,3
MCG-01-22-026, 10.00,  8.00,   14.0,,6,6
MCG-01-22-027,  7.00,  4.00,   15.0,NGC 2617,0,0
MCG-01-02-002,  8.00,  8.00,   15.0,,1.5,1.5
MCG-01-05-023,  5.00,  5.00,   15.0,,3,3
MCG-01-07-014, 10.00,  4.00,   15.5,,2,1
MCG-01-05-043, 10.00,  6.00,   14.0,NGC  702,0,0
MCG-01-34-015,  5.00,  3.00,   15.0,NGC 5133,0,0
MCG-01-22-017,  7.00,  3.00,   15.5,,2.5,2
